# Forward (01-04) + single-checkpoint reversing (05-0a) + multi-checkpoint
# reversing stacks (0b-0d, sub-step B) e2e fixtures.
workflow_id,script_name,script_revision,state,execution_direction,current_disposition,current_event_seq,current_event_ts,fencing_token,lease_owner,lease_expires_at,next_attempt_at,current_operation_attempt,continuation,reversal_trigger_operation_id,created_at,updated_at
a0000000000000000000000000000001,protocol_spike,1,1,1,0,2,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""op:1:dispatched"",""operation_seq"":1}",\N,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000002,protocol_spike,1,4,1,1,2,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""complete""}",\N,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000003,protocol_spike,1,4,1,1,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""complete""}",\N,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000004,protocol_spike,1,1,1,0,2,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""op:1:dispatched"",""operation_seq"":1}",\N,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000005,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0f5,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000006,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0f6,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000007,protocol_spike,1,2,2,2,2,2000-01-01 00:00:01.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse:dispatched"",""seq"":1}",0000000000000000000000000000b0f7,2000-01-01 00:00:00.000000,2000-01-01 00:00:01.000000
a0000000000000000000000000000008,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0f8,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a0000000000000000000000000000009,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0f9,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a000000000000000000000000000000a,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0fa,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a000000000000000000000000000000b,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":2}",0000000000000000000000000000b0fb,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
a000000000000000000000000000000c,protocol_spike,1,2,2,2,3,2000-01-01 00:00:02.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":1}",0000000000000000000000000000b0fc,2000-01-01 00:00:00.000000,2000-01-01 00:00:02.000000
a000000000000000000000000000000d,protocol_spike,1,2,2,2,1,2000-01-01 00:00:00.000000,1,c0000000000000000000000000000000,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0,"{""pos"":""reverse"",""seq"":2}",0000000000000000000000000000b0fd,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000
