# Audit trail. \N=>NULL.
workflow_id,event_seq,event_ts,kind,actor,request_id,payload
a0000000000000000000000000000001,1,2000-01-01 00:00:00.000000,created,\N,\N,{}
a0000000000000000000000000000001,2,2000-01-01 00:00:00.000000,operation_requested,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000002,1,2000-01-01 00:00:00.000000,created,\N,\N,{}
a0000000000000000000000000000002,2,2000-01-01 00:00:00.000000,operation_requested,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000003,1,2000-01-01 00:00:00.000000,created,\N,\N,{}
a0000000000000000000000000000004,1,2000-01-01 00:00:00.000000,created,\N,\N,{}
a0000000000000000000000000000004,2,2000-01-01 00:00:00.000000,operation_requested,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000005,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000006,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000008,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000009,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a000000000000000000000000000000a,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000007,1,2000-01-01 00:00:00.000000,reversal_begun,c0000000000000000000000000000000,\N,{}
a0000000000000000000000000000007,2,2000-01-01 00:00:01.000000,compensation_requested,c0000000000000000000000000000000,\N,"{""seq"":1,""reverse_invocation_id"":""0000000000000000000000000000b0d7"",""reverse_operation"":""release"",""reverse_schema_version"":1}"
